population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,4.44,104.17,7.85,3.5,3.55,11.32,315.45,18.84,16.62,33.51,18.74,6.44,462.63,4.33,916.78,73.34,11.76,176.63,3.88,4,42.96,78.11,11.29,5.48,5.33,321.67,43.08,146.37,546.88,101.46,15.15,14.16,37.07
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,5.63,103.1,122.63,11.93,8.77,66,292.92,18.44,24.18,51.48,23.88,21.23,430.19,4.02,925.43,75.93,9.04,161.27,5.49,3.48,35.72,89.95,18.63,3.49,3.45,317.55,45.8,153.56,476.81,75.53,15.53,18.6,13.38
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,10.37,73.22,7.79,2.71,2.3,21.68,339.18,24.01,21.86,37.43,33.33,5,284.99,4.27,1054.69,33.54,13.7,118.4,7.38,2.99,36.69,191.25,64.36,1.6,4.32,308.12,65.63,128.59,648.44,71.2,9.27,52.46,10.2
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,9.76,71.59,152.55,12.49,8.22,95.15,298.09,23.89,25.32,57.86,36.59,27.03,263.89,3.86,964.23,43.09,13.35,114.41,10.73,3.6,37.17,155.53,45.91,1.71,3.11,285.43,94.81,127.7,514.91,72.48,10.32,38.07,6.23
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,3.59,41.58,4.67,1.69,1.59,9.66,186.5,8.54,7.32,38.24,11.48,2.48,299.05,3.83,619.19,72.21,3.17,117.1,2.56,2.41,18.02,49.97,14.02,1.18,2.91,112.27,23.42,118.25,357.9,68.79,6,9.65,5.61
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,4.87,48.96,56.87,2.99,2.54,61.27,211.73,11.07,12.66,45.81,13.54,11.52,350.88,3.84,697.98,63.21,4.53,130.48,4.06,2.97,28.52,49.43,16.63,1.3,0.92,154.09,39.29,152.18,378.72,73.97,6.8,9.4,3.24
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,7.54,9.79,6.67,16.01,2.82,23.15,366.28,13.23,16.62,36.1,45.09,6.35,12.92,32.11,489.94,260.06,12.21,8.99,4.06,35.88,4.76,197,25.04,6.3,0.88,78.97,14.08,490.53,292.45,4.95,1.32,105.2,1.53
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,15.74,13.33,75.03,29.8,16.02,146.56,493.38,21.68,14.7,43.94,41.95,24.89,21.47,35.16,405.93,249.63,12.94,11.06,3.57,35.65,4.94,146.67,18.09,3.79,0.53,69.33,7.82,484.75,253.99,4.78,2.57,84.93,1.16
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,4.67,10.52,4.67,17.2,2.25,24.48,388.84,11.14,12.82,30.61,32.8,4.34,15.2,28.31,365.42,247.98,12.03,10.04,2.36,38.77,3.7,130.7,15.83,1.47,1.3,50.79,18.35,551.22,243.19,4.91,1.16,74.77,1.34
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,8.57,11.77,80.56,37.49,13.9,141.1,505.71,20.02,12.28,43.04,33.6,23.2,14.91,27.59,325.49,253.33,11.92,9.46,2.85,38.35,3.19,108.19,10.61,1.29,0.38,54.72,2.7,519.65,219.15,4.57,2.64,74.27,1.04
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,1.96,7,3.51,10.56,2.11,16.16,305.61,7.24,9.03,24.18,31.38,3.38,21.1,22.53,252.46,268.33,10.7,13.89,1.6,51.78,4.66,59.76,3.18,1.1,1.16,35.02,19.42,559.72,231.61,4.21,0.85,62.55,1
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,6.97,6.61,50.7,17.98,11.59,140.79,470.36,16.07,9.14,30.59,35.25,15.13,11.66,17.91,246.52,266.83,10.65,9.07,1.88,49.22,3.57,43.99,3.28,1,1.01,27.48,16.07,559.45,203.4,2.44,1.77,59.61,0.96
