population	sample_id	CD7	CD19	pMET	pPLCg2	CD4	IgD	CD20	CD34	CD25	STAT5	CD123	Akt	STAT1	CD45	CD27	p-p38	CD24	pStat3	CD11c	CD14	CD33	Ikba	pCREB	CD16	tMET	CD8a	CD45RA	CD3	pERK	CD38	HLA-DR	pS6	CD127
B cells	E01_D0_UN	0.750375211	4.056596549	2.760342054	1.297815806	0.386824543	1.388809137	4.61056795	1.009618985	0.696312156	0.774774843	0.272396795	2.151904638	0.97500843	6.278033773	1.967380253	1.163489086	0.83463056	0.528908166	3.083976222	0.973145823	1.177405504	2.027785775	4.585244212	0.30008261	2.357428258	0.180556262	5.666232112	0.654233582	0.46508908	2.50310874	5.362003454	3.072672611	0.25305282
Granulocytes	E01_D0_UN	0.195470686	0.060169155	2.237391733	0.345287918	0.047711861	0.14422912	0.056350764	0.317732877	0.108687032	0.480521319	0.123407455	0.997134494	0.692282388	5.272731774	0.183142091	2.162506498	1.95069531	0.964330462	3.472041209	0.379611923	2.63166007	0.447725082	3.581454912	0.143903278	0.576360519	0.103823028	2.212074944	0.313399246	0.404176237	3.415424392	0.387931462	0.862783978	0.267866929
HPSC	E01_D0_UN	1.168354255	0.228212361	2.095007942	0.649668641	0.14979397	0.397382049	0.070763935	4.221067173	1.711224107	0.672094859	1.774397886	1.031925493	0.392943674	4.256849795	0.074530429	1.358121004	0.110277409	1.217077192	1.529975255	0.21809335	2.458330716	2.257389124	4.614903047	0.16906256	1.540601485	0.070123476	1.233042643	0.219566423	0.334971093	5.151949041	4.009389346	0.506305696	0.144584108
Monocytes	E01_D0_UN	0.651601266	0.074899425	3.187138809	1.533236464	1.361363563	0.418862108	0.125713559	0.427325687	0.174540258	1.395729498	0.578724901	2.136797648	1.884708809	6.295258385	0.256180618	2.339826884	0.249944033	0.799923732	5.798460408	3.596270004	4.860408051	2.386049009	5.285856959	1.200493964	2.010035072	0.124089116	4.655364561	0.484092669	0.423117887	4.452146224	5.286344393	1.161976333	0.307708494
NK cells	E01_D0_UN	4.385948937	0.056937797	2.083250645	1.493829808	0.286767884	0.163070178	0.258066939	0.345991541	1.10264036	0.877851731	0.067549211	1.382517061	0.399259985	5.871041569	1.715594138	0.733071654	0.251033239	0.125929151	3.836158192	0.17631832	1.287899254	1.432742157	4.228663377	0.882016328	1.746519395	1.120088623	3.551600715	0.411576401	0.176662102	4.849438685	1.015358265	0.390744505	0.165266933
None	E01_D0_UN	1.586628875	0.746577402	2.22716668	0.773094906	0.403483462	0.246373122	0.209497955	0.552736573	0.935270377	0.656513833	2.797431741	1.676992084	1.094475008	5.35871806	1.830738665	1.568253348	0.136760455	0.326840821	1.786120458	0.191763257	1.263248837	1.484225942	4.299586346	0.559067477	1.67148687	0.253054308	3.109831267	1.303684484	0.503208578	5.281649134	2.141788852	1.067112707	0.254857819
T.CD4 cells	E01_D0_UN	2.604073737	0.058307759	2.044582543	0.968643385	3.689562529	0.515385259	0.124067612	0.240399596	1.039815481	0.600575736	0.037029152	1.503943666	1.215677627	6.025800825	4.321480137	0.512231399	0.08808489	1.208011163	0.245903035	0.118297532	0.088900057	2.979928465	3.701709254	0.324537013	2.070893796	0.476946821	1.50293278	6.257718109	0.341767265	1.627935153	0.377468848	0.170177458	0.656627582
T.CD8 cells	E01_D0_UN	2.666243042	0.035831412	2.033858398	0.892965322	0.204061602	0.120042807	0.208532123	0.287989534	0.28835275	0.623207062	0.023900108	1.628712124	1.006288669	6.241521539	4.066965419	0.474835308	0.095675373	0.515111653	0.301680803	0.122453228	0.092767628	2.613388913	4.104738977	0.383739191	1.850509299	4.779570897	2.726691016	6.137497254	0.30543908	1.553758967	0.482269173	0.335280072	0.517070541
T.DN cells	E01_D0_UN	2.845496814	0.036787302	1.930027685	0.888695351	0.121636347	0.124161891	0.171832622	0.367276597	0.206144996	0.597400445	0.025060645	1.574646013	0.720790185	6.326963769	3.803380027	0.573282041	0.080998783	0.135768889	0.363493043	0.119787339	0.070397423	1.804073924	4.152181726	0.450302503	1.703558208	0.727991955	1.787715338	6.524005477	0.452227086	1.526818777	0.393168465	0.381149791	0.423845598
Unknown	E01_D0_UN	0.063787036	0.031985349	0.586044139	0.142222236	0.032389693	0.044535868	0.010100388	0.062243235	0.047406419	0.176771806	0.052940578	0.156278693	0.044248716	1.220713338	0.05551365	0.38057107	0.034941955	0.138568541	0.474808264	0.083844266	0.286515463	0.099492017	0.855461294	0.064234403	0.1849119	0.02942957	0.391681255	0.196122115	0.043620777	0.702446016	0.379712818	0.067878208	0.076490202
B cells	E01_D0_perv	0.733158717	3.841503252	2.722940137	1.908377284	0.426111081	1.005332572	4.556163051	1.039485644	0.648228291	1.002369412	0.190075791	2.293570607	1.190233214	6.152006584	1.809195786	2.531320856	0.719379688	0.575106277	2.584916852	0.609733958	0.597266405	2.225253127	4.433548948	0.229852814	2.520485638	0.121443525	5.619209141	0.573891391	0.91325652	2.054095554	5.200273922	3.21763196	0.210024436
Granulocytes	E01_D0_perv	0.254616037	0.085428869	2.375499229	1.238816179	0.151975137	0.187732591	0.092299818	0.308159118	0.099946675	0.981306226	0.194530971	1.017325761	0.73593289	5.109387176	0.189580213	2.738139858	1.744910259	1.028796401	3.44414648	0.552062369	2.650131646	0.338858033	3.669526335	0.170088048	0.636777251	0.088650279	2.378542008	0.343021356	0.883953579	3.282203729	0.361492184	1.034346063	0.225949844
HPSC	E01_D0_perv	1.273556073	0.225235394	2.179663611	1.191250043	0.146436546	0.410406385	0.059313452	4.135032881	1.638108166	1.211103838	1.781511672	1.520852072	1.048801985	4.281413488	0.113471773	3.578966568	0.309195741	1.395796521	1.511743339	0.265525221	2.438118534	2.30182309	5.060645854	0.174650352	1.392166909	0.07306025	1.146930697	0.218144447	0.865390049	5.146702581	3.958069147	0.734147773	0.144767653
Monocytes	E01_D0_perv	0.754179241	0.148371362	3.380870151	2.492306569	1.58080155	0.483577221	0.120111677	0.428538984	0.163909866	1.857742886	0.562062173	2.066221327	2.216482967	6.290073934	0.29542107	3.816319484	0.414261412	1.003846091	5.763239178	3.562289805	4.783591432	2.56852189	4.842580303	1.179646097	2.140671016	0.123592382	4.645942224	0.445717301	0.795646702	4.344300914	5.094346761	0.987574161	0.263534538
