population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,1.4,71.81,4.93,1,0.49,4.08,295.6,14.33,9.59,28.2,4.69,2.7,427.32,0.06,917.91,24.14,3.16,123.54,0.29,1.22,0.86,2.92,0.46,0.21,0.22,128.57,1.67,55.83,401.86,4.05,0.27,0.55,0.69
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,1.6,73.82,6.33,1.13,0.52,20.61,242.48,15.59,13.56,27.25,5.3,3.29,301.77,0.25,1021.11,25.62,3.84,79.51,0.49,0.84,0.94,2.87,0.49,0.18,0.17,100.22,1.74,54.21,369.24,3.42,0.87,0.6,0.5
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,3.92,33.78,5,1.1,0.67,7.26,333.37,21.17,17.15,32.56,11.44,3.33,9.61,0.11,1044.1,20.33,1.87,15.87,1.11,1.36,2.06,6.36,0.88,0.2,0.33,123.33,3.97,71.64,493.13,3.55,0.6,1.19,1.03
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,3.75,40.7,7.12,1.49,0.85,28.08,195.48,20.7,19.53,31.73,13.95,4.45,5.24,0.12,964.87,21.3,2.35,14.21,1.22,1.4,2.48,5.02,0.97,0.22,0.42,99.27,3.54,58.69,391.82,4.32,1.28,0.89,0.72
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,1.19,3.37,1.59,0.47,0.19,3.89,140.29,6.36,3.99,32.68,3.44,1.37,1.16,0.22,366.58,23.35,0.18,1.65,0,0.65,0.16,1.23,0.02,0,0,9.01,0.76,43.56,244.56,2.3,0.24,0.33,0.7
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,1.59,12.22,2.15,0.74,0.17,21.18,162.63,8.78,6.77,34.48,4.09,2.11,3.41,0,733.05,23.16,0.06,4.38,0,0.88,0.36,1.2,0.13,0,0,19.72,0.91,78.88,279.6,2.35,0.99,0.08,0.79
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,1.75,1.46,3.89,5.52,1.04,9.22,338.8,6.8,12.55,26.34,25.91,4.06,0,13.06,216.75,208.95,6.72,0.38,0.41,6.62,0,14.42,0.85,0.56,0.01,9.83,0.72,409.08,172.46,1.75,0.19,42.75,0.42
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,6.1,2.3,5.89,6.77,2.18,123.81,504.48,11.1,10.73,26.3,28.36,7.77,0,12.88,223.62,203.91,7.64,0.43,0.31,5.97,0.22,13.33,1.06,0.56,0,8.59,0.62,423.12,163.89,1.77,1.08,40.94,0.34
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,0.99,1.54,3.02,6.51,0.94,11.16,390.64,5.72,9.35,23.74,19.1,2.9,0,11.07,190.69,202.16,6.86,0.28,0.06,6.4,0,7.66,0.67,0.33,0,7.03,0.72,449.52,159.28,1.43,0.15,34.29,0.35
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,3.34,2.5,6.97,12.22,2.22,114.37,497.72,10.58,8.79,26.24,19.48,7.21,0,10.97,202.63,204.67,8.37,0.34,0.33,6.01,0.2,8.06,0.99,0.59,0,7.32,0.57,412.21,151.15,2,1.16,37.02,0.38
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,0.46,0.81,2.32,1.55,0.91,7.11,281.7,4.3,6.41,19.83,19.17,2.48,0,10.3,174.14,228.37,5.81,0.17,0,14.83,0,4.98,0.39,0.17,0,5.52,0.41,463.76,165.46,0.94,0.01,35.3,0.27
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,2.08,1.39,5,3.2,2.03,123.39,471.04,7.98,6.36,20.77,23.14,6.14,0,9.85,178.26,225.38,6.15,0.17,0.12,14.62,0.03,4.32,0.51,0.26,0,4.47,0.28,448.91,150.9,1,0.8,35.58,0.21
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,2.97,0.79,1.96,1.02,0.78,6.76,280.24,5.75,44.55,32.33,69.6,2.46,0,11.43,48.2,224.6,0.16,0,0,0,0,5.04,0.24,0.44,0.38,2.04,1.14,346.39,19.1,1.16,0,0.86,0.22
