"","B","CD24_myeloid","Early","Late","NK","T","pcDC"
"E01_D0_UN",326,200,1662,138692,11182,43616,378
"E01_D1_UN",196,369,1010,54564,6138,38671,283
"E01_D2_UN",390,2731,2213,18207,13942,50597,333
"E03_D0_UN",53,15,113206,180,1030,1832,398
"E03_D1_UN",61,9,89207,274,1193,2140,369
"E03_D2_UN",65,11,94466,361,2250,1486,356
"E04_D0_UN",1084,1823,48,42390,2218,15332,9
"E04_D1_UN",2214,5612,96,11814,1960,40776,29
"E04_D2_UN",2285,6691,53,4235,3432,54482,25
"E05_D0_UN",542,241,384,5970,4520,73885,2299
"E05_D1_UN",260,214,795,16820,2926,52516,1795
"E05_D3_UN",179,388,418,30089,7581,36185,1050
"E07_D0_UN",221,695,5715,5520,4457,14837,440
"E07_D1_UN",204,3515,5061,4493,4853,8910,525
"E09_D0_UN",678,2731,160,6385,10514,49326,218
"E09_D1_UN",208,37615,59,2242,2658,6424,122
"E09_D2_UN",16,17416,13,416,948,444,0
"E12_D0_UN",125,41,1003,167,3283,81644,106
"E12_D1_UN",89,33,907,148,1782,82052,87
"E13_D0_UN",222,165,202,27067,2939,32805,716
"E13_D1_UN",273,207,195,12469,4855,42883,640
"HIMC_1_UN",6900,821,185,42667,14871,54757,252
"HIMC_2_UN",4844,317,160,29317,10123,37883,249
"HIMC_3_UN",6048,1035,187,39325,13636,45298,200
