"","B","CD24_myeloid","Early","Late","NK","T","pcDC"
"E01_D0_UN",0.002,0.001,0.008,0.707,0.057,0.222,0.002
"E01_D1_UN",0.002,0.004,0.01,0.539,0.061,0.382,0.003
"E01_D2_UN",0.004,0.031,0.025,0.206,0.158,0.572,0.004
"E03_D0_UN",0,0,0.97,0.002,0.009,0.016,0.003
"E03_D1_UN",0.001,0,0.957,0.003,0.013,0.023,0.004
"E03_D2_UN",0.001,0,0.954,0.004,0.023,0.015,0.004
"E04_D0_UN",0.017,0.029,0.001,0.674,0.035,0.244,0
"E04_D1_UN",0.035,0.09,0.002,0.189,0.031,0.652,0
"E04_D2_UN",0.032,0.094,0.001,0.059,0.048,0.765,0
"E05_D0_UN",0.006,0.003,0.004,0.068,0.051,0.841,0.026
"E05_D1_UN",0.003,0.003,0.011,0.223,0.039,0.697,0.024
"E05_D3_UN",0.002,0.005,0.006,0.396,0.1,0.477,0.014
"E07_D0_UN",0.007,0.022,0.179,0.173,0.14,0.465,0.014
"E07_D1_UN",0.007,0.128,0.184,0.163,0.176,0.323,0.019
"E09_D0_UN",0.01,0.039,0.002,0.091,0.15,0.705,0.003
"E09_D1_UN",0.004,0.763,0.001,0.045,0.054,0.13,0.002
"E09_D2_UN",0.001,0.905,0.001,0.022,0.049,0.023,0
"E12_D0_UN",0.001,0,0.012,0.002,0.038,0.945,0.001
"E12_D1_UN",0.001,0,0.011,0.002,0.021,0.964,0.001
"E13_D0_UN",0.003,0.003,0.003,0.422,0.046,0.512,0.011
"E13_D1_UN",0.004,0.003,0.003,0.203,0.079,0.697,0.01
"HIMC_1_UN",0.057,0.007,0.002,0.354,0.123,0.455,0.002
"HIMC_2_UN",0.058,0.004,0.002,0.354,0.122,0.457,0.003
"HIMC_3_UN",0.057,0.01,0.002,0.372,0.129,0.428,0.002
