gene_short_name,term,q_value,estimate
ISG15,responseNR,1.0528e-140,2.0506666
FBXO6,responseNR,0.0026574,0.6861107
IFI6,responseNR,2.3327999999999998e-194,2.6773327
IFI44L,responseNR,4.8723e-32,3.6348746
IFI44,responseNR,3.1349999999999996e-32,2.3387785
GBP1,responseNR,8.8695e-22,1.5776293
GBP4,responseNR,1.9599e-24,1.652054
GBP5,responseNR,2.2321000000000002e-5,0.9679483
FCGR1A,responseNR,8.2212e-14,-0.4455631
ADAR,responseNR,8.946e-29,0.9514417
IFI16,responseNR,3.6252e-8,0.3393397
RABGAP1L,responseNR,4.887500000000001e-15,0.8886181
CMPK2,responseNR,6.7466e-12,3.0887583
RSAD2,responseNR,4.3263e-5,3.9740613
EIF2AK2,responseNR,4.4688e-21,0.9986095
NMI,responseNR,1.6416e-4,0.3562426
GPD2,responseNR,0.043609999999999996,0.7705573
STAT1,responseNR,1.21047e-65,1.7705058
SPATS2L,responseNR,0.0011569999999999998,1.6146215
WDFY1,responseNR,1.794e-8,1.0530676
SP110,responseNR,1.0899e-15,0.5038109
TREX1,responseNR,0.0013398000000000001,0.5056383
SHISA5,responseNR,1.8584999999999999e-6,0.5388723
PARP9,responseNR,5.175e-23,1.462884
DTX3L,responseNR,9.126e-9,0.9091281
PARP14,responseNR,2.3688e-28,1.035453
PLSCR1,responseNR,1.946e-25,0.8666298
TNFSF10,responseNR,3.2015e-4,0.2835955
LAP3,responseNR,7.3556e-32,0.8393351
HERC6,responseNR,0.014136,1.4805116
HERC5,responseNR,5.0176e-18,2.0716757
IL15,responseNR,0.022411,0.766311
DDX60,responseNR,4.18e-7,1.3775636
DDX60L,responseNR,0.020024999999999998,0.4526148
TAP2,responseNR,5.0685e-4,0.700353
PSMB8,responseNR,4.6812e-4,0.2224687
PSMB9,responseNR,2.7099999999999998e-5,0.2219189
TAP1,responseNR,0.010764,0.4246063
FAM46A,responseNR,3.8849999999999996e-7,0.5920086
AKAP7,responseNR,0.010033,0.7617876
SAMD9,responseNR,7.074e-7,0.6488319
SAMD9L,responseNR,1.6851e-12,0.8018424
PARP12,responseNR,1.1322e-5,1.0770606
CUL1,responseNR,0.0011193000000000002,0.7195107
NUB1,responseNR,0.008262,0.3467806
LY6E,responseNR,1.53272e-164,1.6389049
JAK2,responseNR,0.001152,0.5634489
DDX58,responseNR,5.9616e-4,1.0001986
IFIT2,responseNR,2.6904e-9,1.9713104
IFIT3,responseNR,1.11086e-21,2.2490286
IFIT1,responseNR,4.8069e-7,3.6045181
IFIT5,responseNR,0.020024999999999998,0.7932991
PCGF5,responseNR,2.1952e-7,0.6074789
IRF7,responseNR,7.1544e-21,0.8330301
TRIM22,responseNR,7.3556e-32,1.1936838
UBE2L6,responseNR,6.5494e-30,0.9080481
SERPING1,responseNR,3.996e-10,2.7683659
PATL1,responseNR,3.9104e-6,0.8133399
TMEM123,responseNR,1.00674e-43,0.8695615
STAT2,responseNR,1.5982000000000002e-20,1.1882438
OAS1,responseNR,1.5946e-9,0.6788159
OAS3,responseNR,4.4384e-40,2.3807832
OAS2,responseNR,2.7648e-30,1.9070301
OASL,responseNR,1.74e-8,1.596441
EPSTI1,responseNR,7.41e-59,1.8374841
PHF11,responseNR,0.00391,0.3963923
TNFSF13B,responseNR,1.5423e-4,0.2097184
PSME1,responseNR,1.07682e-22,0.3639312
PSME2,responseNR,3.5298000000000003e-74,0.7832395
SAMD4A,responseNR,1.07206e-11,2.1209024
TRIM69,responseNR,0.012242999999999999,0.7461214
PML,responseNR,0.0045024,0.743629
PSMB10,responseNR,0.00912,0.3316827
MLKL,responseNR,0.040257,-0.5023031
XAF1,responseNR,1.1023e-31,1.283326
LGALS9,responseNR,1.1995200000000002e-22,0.6389549
JUP,responseNR,0.0046576,1.017501
IFI35,responseNR,1.5240000000000002e-17,0.8217966
RNF213,responseNR,2.618e-49,1.1361892
RBCK1,responseNR,0.0012672,0.4030775
SIGLEC1,responseNR,7.5258e-8,3.3666338
HELZ2,responseNR,0.030384,0.7032813
C19orf66,responseNR,1.1074e-4,0.704814
NAPA,responseNR,1.3038e-6,0.6568679
USP18,responseNR,5.9534000000000005e-6,2.9492496
RTCB,responseNR,0.004523500000000001,0.5622027
APOL6,responseNR,2.574e-19,0.990872
APOL3,responseNR,9.0201e-7,0.9308198
APOBEC3A,responseNR,1.9375e-56,1.6704328
SCO2,responseNR,7.8369e-36,1.0213524
TYMP,responseNR,1.5784200000000002e-70,0.6356488
MX2,responseNR,3.8442e-18,1.0044289
MX1,responseNR,2.1750000000000003e-31,3.0045896
