gene_short_name,term,q_value,estimate
EIF4EBP1,responseNR,9.180000000000001e-29,-0.431911
EIF4B,responseNR,2.178e-22,0.2626513
GAR1,responseNR,1.0600000000000001e-16,0.6464886
RRP12,responseNR,3.0690000000000004e-13,-0.8193764
RRP15,responseNR,1.664e-8,0.4716159
NOP14,responseNR,3.241e-4,0.3400525
DDX18,responseNR,0.001716,-0.120431
POLDIP3,responseNR,0.0025399999999999997,-0.2946563
NOP56,responseNR,0.0444,0.1207001
RRP9,responseNR,0.18810000000000002,0.2622257
EEF2K,responseNR,1,-0.015406
PWP2,responseNR,1,-0.0466586
